Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
India,2020,HIV/AIDS,Respiratory,13.43,3.32,8.7,61+,Male,142714,81.11,1.3,9.37,Surgery,49203,Yes,80.43,2203,6.11,58183,0.7,60.84
Nigeria,2023,Malaria,Respiratory,14.36,9.94,8.45,36-60,Male,882158,86.6,4.04,1.28,Medication,11380,No,66.99,4197,4.47,55306,0.82,34.9
UK,2023,HIV/AIDS,Respiratory,17.04,6.89,2.93,19-35,Female,970376,98.39,2.93,7.65,Vaccination,36449,No,60.28,289,6.42,64270,0.7,52.92
Argentina,2018,Cholera,Respiratory,9,13.64,9.08,0-18,Male,20251,76.27,3.95,1.83,Medication,40361,No,55.01,3992,1.34,77638,0.66,24.31
USA,2019,HIV/AIDS,Respiratory,19.45,6.51,1.98,61+,Male,846282,76.49,4.76,1.37,Surgery,46084,Yes,61.32,3291,5.38,30865,0.62,75.64
Australia,2022,HIV/AIDS,Respiratory,15.74,13.85,2.03,0-18,Male,461664,80.38,3.33,2.73,Surgery,35921,Yes,91.72,224,4.96,30236,0.54,70.92
France,2017,Hypertension,Respiratory,11.49,10.18,2.32,19-35,Other,22785,87.96,4.73,9.33,Vaccination,39417,No,63.7,3000,7.02,46805,0.55,55.19
Italy,2018,Zika,Respiratory,10.62,8.13,5.04,0-18,Other,824676,88.07,3.6,2.8,Vaccination,3367,No,86.08,783,5.47,28738,0.58,63.25
South Korea,2018,Malaria,Respiratory,13.76,9.13,5.31,36-60,Male,642939,79,2.74,4.52,Vaccination,8107,No,90.77,4777,3.26,87665,0.79,27.2
Canada,2018,Asthma,Respiratory,16.42,9.78,8.06,36-60,Female,301471,87.73,3.17,8.47,Surgery,36550,No,79.57,3458,6.39,86584,0.85,51.02
Germany,2023,Asthma,Respiratory,3.39,13.79,9.62,36-60,Female,837479,82.02,3.61,1.1,Therapy,7986,No,98.83,4940,7.71,19040,0.63,77.16
Indonesia,2017,Diabetes,Respiratory,14.46,5.44,6.49,0-18,Female,668382,99.51,4.28,2.3,Vaccination,46840,Yes,52.51,1413,7.31,34134,0.55,71.08
Turkey,2021,COVID-19,Respiratory,7.78,1.6,1.66,61+,Other,515809,61.22,4.79,9.7,Medication,30776,Yes,61.75,468,1.35,95670,0.76,30.48
South Korea,2018,Rabies,Respiratory,17.1,10.44,4.38,61+,Female,361200,52.42,1.26,8.68,Surgery,35374,No,76.7,4101,1.91,45411,0.73,25.34
Mexico,2017,Diabetes,Respiratory,18,0.67,5.5,36-60,Male,476421,56.82,1.93,3.96,Therapy,4632,Yes,73.45,2411,6.19,66524,0.75,42.7
South Korea,2017,HIV/AIDS,Respiratory,16.59,13.71,3.2,0-18,Male,816168,97.41,0.55,7.38,Therapy,31826,Yes,64.74,4267,9.72,15626,0.54,26.77
Brazil,2021,HIV/AIDS,Respiratory,15.04,4.15,9.64,19-35,Female,559732,73.6,3.34,5.34,Therapy,37487,No,67.46,1127,6.73,63063,0.86,85.49
Italy,2017,Cancer,Respiratory,10.72,11.53,7.15,36-60,Male,837146,77.01,1.5,8.35,Medication,17742,Yes,92.12,1011,4.94,44260,0.48,27.44
France,2022,Diabetes,Respiratory,19.72,13.94,6.37,61+,Female,683745,87.03,4.45,7.31,Surgery,40672,Yes,60.82,368,2.84,82710,0.43,76.65
Japan,2018,HIV/AIDS,Respiratory,2.02,1.13,1.34,19-35,Other,974288,95.19,0.87,2.92,Medication,46578,Yes,70.09,4528,9.62,5141,0.67,30.55
Mexico,2023,Malaria,Respiratory,18.15,7.77,6.62,19-35,Other,805240,81.54,1.52,1.45,Therapy,20867,Yes,93.41,3966,0.66,95679,0.59,75.92
Australia,2019,Polio,Respiratory,8.18,4.25,5.56,19-35,Male,22986,89.03,1.78,8.34,Therapy,44121,No,90.05,972,6.48,61396,0.64,68.97
India,2018,Hepatitis,Respiratory,15.95,1.69,3.11,19-35,Male,177103,62.35,2.9,9.7,Therapy,47624,No,92.75,3982,0.94,4227,0.79,28.91
China,2023,Dengue,Respiratory,13.19,6.63,1.98,0-18,Female,267628,59.9,1.68,8.61,Surgery,133,No,87.66,4109,6.41,32583,0.73,49.95
Indonesia,2023,Rabies,Respiratory,15.86,9.12,7.72,0-18,Female,186741,73.74,4.72,5.18,Medication,6258,No,53.44,3713,3.78,89110,0.48,63.84
Australia,2022,Measles,Respiratory,12.85,14.66,5.53,61+,Female,410413,52.72,0.87,4.2,Surgery,39639,Yes,78.77,4954,8.84,40022,0.54,49.84
Mexico,2017,HIV/AIDS,Respiratory,5.61,6.13,1.98,19-35,Female,787872,70.25,2.43,8.78,Surgery,28713,No,65.35,1966,9.68,10375,0.5,33.43
Turkey,2020,Polio,Respiratory,19.21,8.94,5.87,0-18,Female,614519,68.2,1.36,6.52,Medication,5629,No,59.84,3533,1.07,77635,0.71,66.57
Italy,2017,Asthma,Respiratory,12.53,11.99,4.88,36-60,Female,73595,57.22,4.66,1.38,Medication,36537,No,96.25,1393,9.85,18650,0.52,89.34
Japan,2021,Tuberculosis,Respiratory,14.42,7.83,6.99,19-35,Male,806242,59.52,4.44,9.15,Surgery,26444,Yes,55.91,466,3.59,80778,0.86,26.26
Australia,2022,Parkinson's Disease,Respiratory,5.22,11.6,6.77,19-35,Other,748997,98.5,2.84,8.21,Surgery,1173,No,52.19,4935,3.16,63422,0.78,50.25
Japan,2023,Ebola,Respiratory,0.82,13.75,8.26,0-18,Other,157441,71.48,3.1,1.55,Therapy,12250,Yes,91.33,4993,3.33,50895,0.53,70.43
Australia,2023,HIV/AIDS,Respiratory,8.76,13.92,6.01,36-60,Other,669525,57.36,4.42,3.49,Vaccination,45015,Yes,60.41,3841,0.65,23754,0.41,57.2
Indonesia,2022,Tuberculosis,Respiratory,11.39,12.67,5.07,61+,Other,330366,89.67,0.58,2.46,Medication,24704,No,97.29,3252,3.53,25194,0.8,57.52
Russia,2023,Measles,Respiratory,17.47,5.19,1.08,36-60,Other,829153,85.53,2.05,8.28,Therapy,45884,Yes,74.25,3601,0.42,95252,0.5,59.87
Brazil,2023,Hypertension,Respiratory,14.84,12.73,5.92,0-18,Female,819959,67.72,4.34,3.58,Surgery,3973,No,85.86,4128,9.02,93452,0.75,62.96
South Africa,2020,Hepatitis,Respiratory,18.49,12.63,7.9,36-60,Female,513497,52.09,3.22,4.18,Vaccination,40313,No,56.16,2448,6.35,28896,0.5,72.52
Canada,2019,Measles,Respiratory,1.66,7.7,9.62,0-18,Other,59995,77.88,0.96,1.58,Therapy,16491,Yes,69.39,122,0.6,31641,0.6,67.88
Mexico,2018,Influenza,Respiratory,3.42,5.9,3.48,0-18,Female,521660,87.72,4.82,6.66,Vaccination,13136,No,61.84,4015,1.65,10365,0.64,67.07
Nigeria,2017,COVID-19,Respiratory,13.33,4.79,9.61,0-18,Male,662761,92.83,2.66,2.37,Medication,3616,Yes,70.73,4443,4.08,55661,0.63,64.87
Indonesia,2022,Parkinson's Disease,Respiratory,18.15,2.15,0.97,61+,Male,661633,67.85,1.82,8.57,Therapy,4398,No,95.04,2083,7.24,93876,0.8,72.52
Australia,2021,Cancer,Respiratory,13.52,9.5,5.96,36-60,Female,881340,50.31,0.82,7.64,Medication,49693,Yes,95.56,3925,9.69,13482,0.88,33.02
Mexico,2020,Zika,Respiratory,10.99,8.03,6.02,36-60,Female,77911,57.07,0.83,9.83,Medication,29945,Yes,65.48,2489,3.05,18507,0.89,63.98
France,2019,Asthma,Respiratory,1.22,7.61,9.46,19-35,Other,326066,83.99,4.97,0.67,Medication,15024,No,56.52,4594,6.75,90334,0.41,82.46
Japan,2018,Tuberculosis,Respiratory,2.12,1.4,1.88,61+,Female,567271,52.77,3.24,5.49,Surgery,1151,Yes,95.19,1276,2.09,42803,0.43,58.28
China,2021,Hepatitis,Respiratory,14.78,12.05,5.8,0-18,Other,682535,90.51,4.77,3.01,Medication,40342,No,54.84,4509,8.24,5355,0.74,36.49
India,2023,Malaria,Respiratory,14.01,8.92,2.36,36-60,Female,99740,91.78,1.79,9.75,Medication,34936,Yes,93.93,4757,3.86,55970,0.46,66.78
France,2017,Dengue,Respiratory,8.6,9.98,6.13,36-60,Male,667604,56.87,3.83,8.33,Vaccination,5857,No,80.16,1154,3.39,57321,0.5,35.21
China,2023,Dengue,Respiratory,6.98,5.44,4.19,19-35,Female,867127,80.58,3.47,6.68,Vaccination,7061,Yes,66.47,2845,2.82,55652,0.49,60.55
Nigeria,2020,Cancer,Respiratory,17.29,2.07,1.61,61+,Male,527939,84.69,1.42,2.96,Surgery,2881,Yes,60.28,2587,2.07,50571,0.43,46.78
Russia,2018,Diabetes,Respiratory,8.91,8.57,9.2,0-18,Female,551856,98.68,4.89,3.62,Therapy,16987,No,86.57,1404,5.84,85548,0.51,39.39
South Korea,2019,Diabetes,Respiratory,18.1,0.98,2.04,61+,Female,147226,77.43,4.08,9.02,Vaccination,27995,No,83.08,3108,9.39,58028,0.49,49.56
Saudi Arabia,2020,Dengue,Respiratory,9.2,7.7,7.9,61+,Other,789259,67.62,0.77,8.41,Therapy,23735,Yes,74.7,2720,9.47,54546,0.47,75.26
Mexico,2023,COVID-19,Respiratory,19.11,14.94,9.49,61+,Male,379420,95.1,1.96,2.07,Therapy,11481,No,88.54,1655,2.03,63904,0.41,49.01
France,2019,Tuberculosis,Respiratory,4.13,4.97,0.13,36-60,Other,862787,84.22,0.73,8.48,Vaccination,32840,Yes,77.27,3979,9.46,90287,0.75,27.45
Japan,2021,Diabetes,Respiratory,1.96,14.16,4.39,19-35,Other,395164,58.38,2.28,4.82,Medication,46324,Yes,50.66,738,3.33,65433,0.74,46.92
South Korea,2020,Diabetes,Respiratory,16.58,12.68,4.53,19-35,Other,802529,96.78,3.37,6.49,Medication,44607,No,66.26,2021,7.27,62271,0.67,60.41
Australia,2019,Leprosy,Respiratory,4.84,10.94,8.25,0-18,Other,404062,88.34,2.83,2.45,Medication,26349,No,98.42,3525,4.62,38424,0.62,89.25
South Korea,2020,HIV/AIDS,Respiratory,18.98,6.29,1.55,61+,Male,573692,93.02,3.24,5.99,Vaccination,17851,No,54.11,3158,6.25,36688,0.67,74.97
China,2020,Influenza,Respiratory,17.97,1.06,5.29,19-35,Other,189864,94.26,1.35,4.59,Surgery,13962,No,73.55,4003,5.49,90566,0.55,24.6
South Africa,2020,HIV/AIDS,Respiratory,4.32,7.05,8.81,19-35,Other,425396,56.88,1.94,8.94,Therapy,14739,Yes,62.92,1167,3.89,28197,0.73,61.31
Turkey,2021,Hepatitis,Respiratory,16,7.22,0.66,36-60,Other,153369,51.34,2.69,5.28,Therapy,36774,Yes,50.71,4703,0.93,97372,0.76,52.27
Germany,2021,Measles,Respiratory,1.55,9.1,2.4,0-18,Other,754237,99.72,3.26,9.17,Medication,10462,Yes,79.97,3987,5.48,96528,0.67,53.59
Germany,2021,Cholera,Respiratory,15.2,10.47,3.13,61+,Male,754408,91.1,3.98,9.1,Vaccination,42033,Yes,85.41,2221,5.59,11877,0.59,57.26
Japan,2020,Tuberculosis,Respiratory,0.3,2.09,7.96,36-60,Female,814260,68.31,3.06,5.7,Surgery,46243,No,82.14,1216,2.99,22998,0.9,22.24
Mexico,2020,Ebola,Respiratory,13.93,1,1.38,19-35,Female,131296,81.73,2.52,6.2,Surgery,24389,Yes,76.1,4947,8.15,25978,0.6,22.78
Canada,2019,Tuberculosis,Respiratory,9.37,3.27,8.7,36-60,Female,868787,95.89,4.16,8.24,Medication,15160,No,57.6,2155,5.22,62008,0.45,74.76
Saudi Arabia,2023,COVID-19,Respiratory,15.91,2.81,2.05,36-60,Other,279348,55.61,4.2,0.64,Surgery,4813,Yes,70.9,4368,4.57,2683,0.74,80.62
Indonesia,2017,Parkinson's Disease,Respiratory,7.26,7.29,4.3,36-60,Other,589480,93.65,3.54,4.82,Medication,5392,Yes,72.18,1503,2.3,30915,0.72,55.25
Turkey,2022,Leprosy,Respiratory,4,5.3,0.37,61+,Female,821881,63.73,1.24,6.1,Vaccination,13802,Yes,56.78,4406,3.99,93345,0.69,89.56
Brazil,2020,Malaria,Respiratory,10.11,14.65,9.44,36-60,Female,213811,78.83,2.87,6.01,Surgery,6371,Yes,72.37,81,0.61,56624,0.71,38.14
USA,2018,Hepatitis,Respiratory,11.15,13.42,3.46,61+,Other,495941,83.6,4.06,9.45,Therapy,39602,No,62.21,1925,8.31,13328,0.8,77.54
Turkey,2020,Tuberculosis,Respiratory,16.85,10.86,1.49,61+,Female,167569,55.75,2.26,9.31,Medication,41174,No,93.99,4192,1.92,34620,0.57,81.61
Russia,2018,Cancer,Respiratory,14.93,12.78,3.55,36-60,Male,165562,73.76,4.24,6.83,Surgery,8946,Yes,52.71,470,3.34,59651,0.44,68.21
Australia,2022,Influenza,Respiratory,17.75,1.83,7.87,19-35,Female,992404,55.4,2.95,6.39,Vaccination,31736,No,68.49,4837,6.15,45937,0.7,61.55
France,2019,Polio,Respiratory,0.9,8.94,4.98,36-60,Female,777275,73.35,3.66,6.23,Surgery,31010,Yes,85.46,197,4.92,73472,0.58,23.53
China,2022,HIV/AIDS,Respiratory,6.89,4.47,1.68,36-60,Male,779127,68.21,4.42,0.73,Medication,24957,No,53.85,4134,3.54,86324,0.43,58.63
UK,2023,Cholera,Respiratory,7.43,0.47,7.26,36-60,Male,511445,92.33,2.58,1.48,Surgery,28099,No,77.91,3811,5.1,73546,0.56,54.82
Australia,2019,Hepatitis,Respiratory,10.9,3.34,1.86,0-18,Male,565676,86.25,2.56,7.75,Vaccination,16002,Yes,63.26,1441,3.75,3521,0.51,67.58
USA,2017,Dengue,Respiratory,18.52,13.45,7.71,36-60,Female,619883,56.62,4.01,1.48,Vaccination,1394,Yes,70.54,4613,6.48,41972,0.83,29.18
South Korea,2020,Influenza,Respiratory,15.84,2.87,2.75,36-60,Female,654498,81.93,3.68,3.03,Medication,47881,Yes,73.2,187,7.85,26343,0.66,70.45
Russia,2023,Alzheimer's Disease,Respiratory,4.54,2.89,3.3,36-60,Male,401855,56.7,3.77,6.92,Vaccination,19995,No,92.69,2563,2.34,40662,0.73,65.65
India,2017,Dengue,Respiratory,19.7,9.25,0.63,36-60,Female,432460,99.73,2.68,2.61,Vaccination,47135,Yes,65.04,222,4.53,69550,0.56,85.1
France,2021,Rabies,Respiratory,14.46,13.75,0.57,61+,Other,938910,61.7,2.74,0.75,Therapy,4163,Yes,51.55,4628,0.45,55048,0.84,87.41
Italy,2022,Rabies,Respiratory,8.07,6.57,9.16,19-35,Female,992201,52.04,0.84,2.3,Therapy,46133,No,93.37,3709,8.5,96968,0.72,26.71
Italy,2020,Influenza,Respiratory,11.1,13,1.43,19-35,Female,708517,76.98,1.82,2.99,Therapy,12995,Yes,54.66,318,9.31,79799,0.44,63.73
France,2021,COVID-19,Respiratory,14.06,10.29,3.21,19-35,Male,433084,95.86,3.28,8.33,Vaccination,40380,Yes,60.29,2551,8.89,7343,0.87,45.59
Russia,2022,Alzheimer's Disease,Respiratory,17.61,1.48,2.86,61+,Other,440981,66,0.53,6.31,Vaccination,7157,Yes,62.04,830,5.44,61008,0.78,84.24
Canada,2019,Polio,Respiratory,16.5,1.2,8.29,36-60,Other,806440,86.18,2.89,5.1,Vaccination,19640,Yes,53.98,2161,5.67,31501,0.72,73.01
Nigeria,2021,Asthma,Respiratory,3.3,7.14,8.71,19-35,Female,13927,60.96,4.33,1.55,Vaccination,43329,Yes,80.43,3379,6.07,9375,0.6,85.56
Saudi Arabia,2017,Ebola,Respiratory,18.05,0.28,9.74,36-60,Female,533441,70.23,3.46,9.11,Therapy,4606,Yes,92.32,4384,6.61,76954,0.89,69.65
Russia,2017,Cholera,Respiratory,8.44,7.24,1.2,19-35,Female,238605,62.05,1.91,8.31,Surgery,10380,Yes,76.58,85,8.58,93909,0.55,65.14
Brazil,2022,Malaria,Respiratory,2.41,2.07,5.77,0-18,Other,917926,51.66,1,5.87,Therapy,7723,No,94.79,1078,5.25,48932,0.65,50.78
USA,2019,Asthma,Respiratory,19.62,11.04,5.13,61+,Female,82192,75.17,4.76,1.57,Medication,28575,Yes,94.33,302,7.14,95455,0.64,85.56
Russia,2021,Dengue,Respiratory,14.06,7.21,5.18,0-18,Male,961286,96.24,1.6,6.55,Surgery,37320,No,81.19,4013,5.57,89489,0.63,86.21
USA,2017,Ebola,Respiratory,16.8,13.99,1.47,0-18,Male,958076,70.35,0.91,1.48,Vaccination,17630,Yes,56.83,3881,3.24,95580,0.73,23.68
Argentina,2022,Zika,Respiratory,17.58,3.33,4.27,0-18,Other,470858,96.75,3,4.1,Therapy,40041,No,92.74,491,8.48,84743,0.48,35.95
Argentina,2020,Leprosy,Respiratory,5.54,12.54,9.36,19-35,Female,321700,89.51,3.32,9.89,Medication,22679,Yes,51.67,4743,2.82,34433,0.63,51.78
China,2023,Cholera,Respiratory,9.56,6.45,0.97,36-60,Other,919363,82.81,4.21,9.92,Medication,25557,No,90.66,816,6.33,17463,0.52,37.51
South Korea,2023,Influenza,Respiratory,7.77,2.59,8.25,0-18,Male,23286,73.46,1.79,1.41,Medication,39716,Yes,90.4,2717,2.97,31683,0.77,88.05
USA,2019,Zika,Respiratory,12.53,3.49,5.48,0-18,Male,985299,86.49,0.51,0.9,Therapy,27439,No,65.7,1532,9.09,82801,0.88,66.57
Turkey,2020,Tuberculosis,Respiratory,2.48,2.94,9.57,19-35,Female,297303,77.85,3.94,9.03,Surgery,2742,Yes,84.26,3437,3.51,87214,0.55,80.37
China,2017,Hypertension,Respiratory,8.87,12.55,7.15,19-35,Female,396327,80.32,4.48,0.66,Therapy,40778,Yes,77.46,811,0.32,4005,0.79,60.78
USA,2018,Measles,Respiratory,10.72,4.26,9.93,36-60,Female,918998,51.13,1.3,4.61,Medication,13706,Yes,56.27,2166,0.93,45177,0.53,78.03
Turkey,2021,Influenza,Respiratory,3.79,3.43,8.2,0-18,Male,419868,65.38,3.51,4.04,Vaccination,9633,Yes,54.67,4338,4.96,59256,0.63,52.97
Saudi Arabia,2023,Dengue,Respiratory,17.15,4.95,6.43,0-18,Female,997107,99.04,3.16,3.98,Surgery,48810,Yes,97.66,4625,8.61,689,0.48,78.24
Italy,2023,HIV/AIDS,Respiratory,19.84,5.54,3.11,36-60,Female,525800,55.05,3.16,2.22,Vaccination,44585,No,93.4,1715,7.86,45468,0.48,56.36
Argentina,2022,Tuberculosis,Respiratory,8.71,10.13,3.61,0-18,Male,675981,72.66,4.72,8.7,Vaccination,18811,No,87.1,1656,6.19,71953,0.65,47.04
Italy,2018,Malaria,Respiratory,16.58,10.68,0.27,19-35,Male,487978,71.36,4.1,5.45,Surgery,40122,No,87.14,4096,3.82,2182,0.66,61.02
Nigeria,2017,Measles,Respiratory,19.2,7.43,5.97,19-35,Other,81959,55.96,0.93,1.88,Surgery,32448,Yes,87.89,1482,1.12,99557,0.7,39.51
Indonesia,2020,COVID-19,Respiratory,12.51,8.64,2.95,19-35,Other,802516,70.75,0.74,4.6,Surgery,19566,No,92.73,1268,8.35,14671,0.42,79.93
South Korea,2023,Cancer,Respiratory,14.06,10.89,9.2,61+,Male,184974,84.69,1.16,1.35,Therapy,31950,Yes,53.04,2868,2.32,73121,0.86,80.87
Nigeria,2023,Malaria,Respiratory,5.78,10.97,3.55,0-18,Other,948485,57.47,4.25,1.58,Medication,8402,No,82.59,2849,9.77,18002,0.66,77.22
Australia,2017,Ebola,Respiratory,15.17,2.59,1.64,19-35,Other,813142,80.11,4.84,3.8,Therapy,38688,Yes,85.14,2670,2.74,23156,0.77,87.32
UK,2021,Rabies,Respiratory,16.55,13.27,3.18,19-35,Male,634601,51.93,2.12,8.1,Therapy,48060,Yes,61.66,687,0.18,75873,0.77,55.63
Indonesia,2023,Hepatitis,Respiratory,2.37,2.26,0.52,36-60,Female,832769,86.6,2.62,7.16,Medication,23899,Yes,83.82,1982,6.49,50704,0.57,77.03
Indonesia,2017,Dengue,Respiratory,13.76,14.81,1.12,0-18,Other,915853,55.23,3.81,4.92,Therapy,22375,No,87.81,1128,7.38,55028,0.65,32.46
South Africa,2023,Measles,Respiratory,15.26,8.3,9.57,19-35,Female,447556,59.67,3.2,5.34,Surgery,47000,Yes,55.47,4595,3.15,80364,0.73,35.34
Japan,2017,Ebola,Respiratory,15.04,7.38,3.51,0-18,Other,988837,98.96,1.17,0.54,Medication,30651,Yes,53.16,140,3.92,96883,0.55,31.65
USA,2018,Cholera,Respiratory,10.06,11.91,6.84,0-18,Female,380399,83.42,1.89,5.21,Therapy,40853,Yes,55.02,615,4.98,39068,0.69,46.43
South Africa,2021,Zika,Respiratory,15.02,6.91,3.57,19-35,Female,102942,65.64,1.87,7.26,Therapy,5145,Yes,50.54,918,1.93,3704,0.42,80.7
Canada,2021,Cancer,Respiratory,9.57,8.77,8.67,19-35,Male,699211,92.49,3.38,4.94,Medication,3838,Yes,54.16,4445,2.34,60465,0.74,85.5
Italy,2019,Polio,Respiratory,9.93,3.07,6.02,36-60,Male,299874,67.71,1.07,3.68,Vaccination,39708,No,82.39,2274,4.63,94329,0.85,28.18
Italy,2018,Parkinson's Disease,Respiratory,9.98,4.04,6.67,0-18,Other,470740,52.45,1.47,5.05,Medication,24614,Yes,52.98,4417,9.4,65822,0.51,74.7
Indonesia,2019,Hepatitis,Respiratory,14.27,0.7,7.73,61+,Male,695655,59.84,3.22,1.21,Surgery,18567,No,60.34,3697,1.18,84078,0.8,74.18
Argentina,2019,Parkinson's Disease,Respiratory,7.34,9.39,8.21,36-60,Other,343178,54.94,0.53,6.96,Medication,32759,Yes,76.75,1402,0.57,25881,0.45,48.39
South Korea,2018,Leprosy,Respiratory,0.57,11.97,5.38,36-60,Other,156983,55.65,1.62,4.41,Therapy,10270,Yes,72.63,11,3.4,89538,0.81,25.96
Russia,2019,Diabetes,Respiratory,17.81,2.45,1.57,19-35,Male,642854,77.73,3.81,3.38,Therapy,6757,No,64.2,269,1.38,82800,0.46,59.93
Nigeria,2023,Leprosy,Respiratory,10.91,2.02,9.07,36-60,Female,675838,68.87,1.97,6.86,Vaccination,20816,Yes,79.35,2362,6.78,14491,0.68,29.52
UK,2023,Hypertension,Respiratory,3.92,13,8.78,0-18,Male,482985,61.1,2.95,9.85,Vaccination,48910,No,84.47,2184,8.96,6051,0.49,69.49
UK,2021,Alzheimer's Disease,Respiratory,17.26,8.96,2.51,36-60,Female,243699,91.12,3.28,4.27,Vaccination,8249,Yes,86.36,3603,4.03,1731,0.72,68.59
Australia,2021,Cholera,Respiratory,7.09,2.23,6.71,19-35,Male,602572,50.34,0.93,8.99,Medication,27930,No,52.15,4729,0.62,5012,0.6,61.55
Mexico,2023,Tuberculosis,Respiratory,18.1,2.52,3.45,61+,Female,449648,99.71,4.12,5.2,Medication,30948,Yes,59.69,4949,7.51,28746,0.69,21.16
Germany,2017,Dengue,Respiratory,19.38,0.64,6.17,0-18,Other,618999,66.43,3.97,6.14,Surgery,48530,No,69.19,313,2.25,44298,0.72,40.35
UK,2021,Zika,Respiratory,7.4,10.07,7.35,36-60,Other,401245,56.01,0.86,7.71,Surgery,4507,Yes,91,1898,0.51,84306,0.9,75.23
France,2017,Polio,Respiratory,16.14,14.54,3.37,61+,Female,451545,66.08,4.71,1.58,Medication,4473,Yes,97.64,532,7.63,38937,0.53,59.41
China,2022,Leprosy,Respiratory,0.72,6.07,9.35,19-35,Male,276495,50.83,4.15,5.69,Therapy,26713,No,50.18,4032,9.99,90491,0.76,61.45
South Africa,2018,Influenza,Respiratory,14.08,2.43,1.75,36-60,Male,924559,72.89,0.96,0.83,Therapy,33151,No,97.03,3570,5.24,18376,0.56,68.2
Germany,2018,Diabetes,Respiratory,18.96,1.51,4.58,61+,Male,870868,99.88,1.04,2.57,Therapy,24855,No,95.63,4047,3.76,66323,0.89,30
Russia,2018,Cancer,Respiratory,11.62,14.98,7.4,19-35,Female,589532,60.95,1.48,4.29,Surgery,40078,Yes,83.81,2757,6.74,29314,0.79,20.03
Russia,2017,COVID-19,Respiratory,14.49,10.05,9.88,61+,Other,906005,69.17,2.36,5.84,Medication,22930,No,59.94,2998,1.69,80159,0.61,20.54
Mexico,2019,Leprosy,Respiratory,10.8,8.07,4.62,61+,Other,100320,68.45,0.65,9.04,Therapy,8661,No,62.03,1623,2.7,40007,0.87,79.22
South Africa,2018,Influenza,Respiratory,1.92,8.93,5.42,61+,Other,490949,88.69,1,5.45,Surgery,13059,No,65.19,1808,2.56,33965,0.51,72.86
Italy,2021,HIV/AIDS,Respiratory,1.43,13.88,0.63,36-60,Male,129432,70.1,0.74,0.88,Therapy,9787,Yes,83,4641,6.75,25045,0.57,45.89
Saudi Arabia,2017,Hepatitis,Respiratory,12.41,2.29,6.29,61+,Male,126396,56.47,2.69,8.8,Vaccination,22535,Yes,80.42,2013,6.27,72881,0.57,57.98
Italy,2020,COVID-19,Respiratory,2.93,3.7,0.56,61+,Female,408094,71.47,3.96,7.17,Vaccination,19519,Yes,51.31,1398,5.36,69085,0.48,60.85
Italy,2017,Cancer,Respiratory,14.74,5.48,1.8,61+,Male,517832,58.37,4.75,6.58,Therapy,44558,No,77.91,2389,2.49,64511,0.58,64.58
Italy,2018,Malaria,Respiratory,13.79,2.8,2.29,61+,Other,332011,86.24,2.84,1.58,Medication,49463,Yes,89.22,4608,6.24,58011,0.78,76.77
Canada,2018,Diabetes,Respiratory,19.33,12.19,6.87,0-18,Male,534753,59.39,3.41,7.68,Surgery,35501,No,58.77,751,1.24,65737,0.52,49.11
South Africa,2021,Rabies,Respiratory,6.11,7.45,8.98,36-60,Male,872920,84.03,3.42,2.54,Therapy,21975,No,90.48,4147,3.18,62452,0.5,58.36
Mexico,2018,Hypertension,Respiratory,4.54,1.13,6.13,19-35,Male,596932,99.01,2.36,3.16,Vaccination,48288,No,54.58,4593,2.18,66722,0.87,81.7
Indonesia,2022,Alzheimer's Disease,Respiratory,14.24,10.64,4.75,0-18,Other,288248,71.3,2.39,0.58,Therapy,45392,No,51.04,1085,1.32,34509,0.6,69.6
India,2020,Ebola,Respiratory,3.15,10.76,5.97,36-60,Other,834800,80.27,4.94,2.83,Therapy,37337,Yes,87.35,4293,7.29,28727,0.73,84.27
Argentina,2019,Parkinson's Disease,Respiratory,8.96,12.04,4.92,0-18,Other,305123,57.61,3.36,9.23,Medication,23034,Yes,92.99,3598,8.17,32361,0.56,84.6
Saudi Arabia,2018,Hypertension,Respiratory,15.48,13.34,7.32,19-35,Other,291392,58.31,2.75,1.92,Therapy,17371,No,95.17,952,5.11,27405,0.64,71.12
China,2019,Leprosy,Respiratory,13.6,4.23,1.68,36-60,Female,763460,67.49,0.92,3.66,Therapy,38660,Yes,79.03,3707,1.96,5309,0.69,74.25
Turkey,2018,Measles,Respiratory,2.55,0.14,6.36,61+,Other,859531,98.99,4.5,3,Therapy,29535,Yes,66.56,4217,9.55,28360,0.53,44.08
China,2022,Cholera,Respiratory,5.74,12.58,1.71,0-18,Female,907918,96.49,4.24,6.21,Therapy,28533,Yes,82.03,4154,4.6,50298,0.88,26.81
South Africa,2019,Leprosy,Respiratory,7.84,14.91,9.97,0-18,Male,631773,73.39,3.27,8.46,Medication,10610,No,63.46,2927,3.63,80612,0.84,25.12
Italy,2017,Leprosy,Respiratory,3.8,8.64,6.31,0-18,Other,473888,78.06,1.22,8.4,Medication,13579,No,83.04,2812,0.33,61765,0.64,62.02
Germany,2021,Cancer,Respiratory,15.19,7.73,3.58,61+,Male,623867,89.06,3.66,3.56,Surgery,39133,Yes,53.09,1349,9.32,46854,0.54,25.34
